State,State Abbreviations,State Center Coordinates,Capital,State Capital Coordinates,State Area (sq. miles)
Alabama,AL,"32.7794, -86.8287",Montgomery,"32.361538, -86.279118",52420.07
Alaska,AK,"64.0685, -152.2782",Juneau,"58.301935, -134.41974",665384.04
Arizona,AZ,"34.2744, -111.6602",Phoenix,"33.448457, -112.073844",113990.3
Arkansas,AR,"34.8938, -92.4426",Little Rock,"34.736009, -92.331122",53178.55
California,CA,"37.1841, -119.4696",Sacramento,"38.555605, -121.468926",163694.74
Colorado,CO,"38.9972, -105.5478",Denver,"39.7391667, -104.984167",104093.67
Connecticut,CT,"41.6219, -72.7273",Hartford,"41.767, -72.677",5543.41
Delaware,DE,"38.9896, -75.5050",Dover,"39.161921, -75.526755",2488.72
Florida,FL,"28.6305, -82.4497",Tallahassee,"30.4518, -84.27277",65757.7
Georgia,GA,"32.6415, -83.4426",Atlanta,"33.76, -84.39",59425.15
Hawaii,HI,"20.2927, -156.3737",Honolulu,"21.30895, -157.826182",10931.72
Idaho,ID,"44.3509, -114.6130",Boise,"43.613739, -116.237651",83568.95
Illinois,IL,"40.0417, -89.1965",Springfield,"39.78325, -89.650373",57913.55
Indiana,IN,"39.8942, -86.2816",Indianapolis,"39.790942, -86.147685",36419.55
Iowa,IA,"42.0751, -93.4960",Des Moines,"41.590939, -93.620866",56272.81
Kansas,KS,"38.4937, -98.3804",Topeka,"39.04, -95.69",82278.36
Kentucky,KY,"37.5347, -85.3021",Frankfort,"38.197274, -84.86311",40407.8
Louisiana,LA,"31.0689, -91.9968",Baton Rouge,"30.45809, -91.140229",52378.13
Maine,ME,"45.3695, -69.2428",Augusta,"44.323535, -69.765261",35379.74
Maryland,MD,"39.0550, -76.7909",Annapolis,"38.972945, -76.501157",12405.93
Massachusetts,MA,"42.2596, -71.8083",Boston,"42.2352, -71.0275",10554.39
Michigan,MI,"44.3467, -85.4102",Lansing,"42.7335, -84.5467",96713.51
Minnesota,MN,"46.2807, -94.3053",Saint Paul,"44.95, -93.094",86935.83
Mississippi,MS,"32.7364, -89.6678",Jackson,"32.32, -90.207",48431.78
Missouri,MO,"38.3566, -92.4580",Jefferson City,"38.572954, -92.189283",69706.99
Montana,MT,"47.0527, -109.6333",Helena,"46.595805, -112.027031",147039.71
Nebraska,NE,"41.5378, -99.7951",Lincoln,"40.809868, -96.675345",77347.81
Nevada,NV,"39.3289, -116.6312",Carson City,"39.160949, -119.753877",110571.82
New Hampshire,NH,"43.6805, -71.5811",Concord,"43.220093, -71.549127",9349.16
New Jersey,NJ,"40.1907, -74.6728",Trenton,"40.221741, -74.756138",8722.58
New Mexico,NM,"34.4071, -106.1126",Santa Fe,"35.667231, -105.964575",121590.3
New York,NY,"42.9538, -75.5268",Albany,"42.659829, -73.781339",54554.98
North Carolina,NC,"35.5557, -79.3877",Raleigh,"35.771, -78.638",53819.16
North Dakota,ND,"47.4501, -100.4659",Bismarck,"48.813343, -100.779004",70698.32
Ohio,OH,"40.2862, -82.7937",Columbus,"39.962245, -83.000647",44825.58
Oklahoma,OK,"35.5889, -97.4943",Oklahoma City,"35.482309, -97.534994",69898.87
Oregon,OR,"43.9336, -120.5583",Salem,"44.931109, -123.029159",98378.54
Pennsylvania,PA,"40.8781, -77.7996",Harrisburg,"40.269789, -76.875613",46054.35
Rhode Island,RI,"41.6762, -71.5562",Providence,"41.82355, -71.422132",1544.89
South Carolina,SC,"33.9169, -80.8964",Columbia,"34, -81.035",32020.49
South Dakota,SD,"44.4443, -100.2263",Pierre,"44.367966, -100.336378",77115.68
Tennessee,TN,"35.8580, -86.3505",Nashville,"36.165, -86.784",42144.25
Texas,TX,"31.4757, -99.3312",Austin,"30.266667, -97.75",268596.46
Utah,UT,"39.3055, -111.6703",Salt Lake City,"40.7547, -111.892622",84896.88
Vermont,VT,"44.0687, -72.6658",Montpelier,"44.26639, -72.57194",9616.36
Virginia,VA,"37.5215, -78.8537",Richmond,"37.54, -77.46",42774.93
Washington,WA,"47.3826, -120.4472",Olympia,"47.042418, -122.893077",71297.95
West Virginia,WV,"38.6409, -80.6227",Charleston,"38.349497, -81.633294",24230.04
Wisconsin,WI,"44.6243, -89.9941",Madison,"43.074722, -89.384444",65496.38
Wyoming,WY,"42.9957, -107.5512",Cheyenne,"41.145548, -104.802042",97813.01
